noise,k,c2st_auc,similarity_pct,real_test_auprc,real_test_ci_width,synthetic_test_auprc,synthetic_test_ci_width,n_train_subjects,n_synthetic_subjects
0.0,1,0.5,100.0,0.294684789612014,0.5526187581187963,0.294684789612014,0.5526187581187963,75,0
0.0,3,0.4368612382991358,100.0,0.3695177787950981,0.6224534209229287,1.0,4.440892098500626e-16,75,150
0.0,10,0.391729797979798,100.0,0.30620901977632153,0.5796743653609,1.0,4.440892098500626e-16,75,675
0.005,1,0.5,100.0,0.294684789612014,0.5526187581187963,0.294684789612014,0.5526187581187963,75,0
0.005,3,1.0,0.0,0.36786421578496586,0.5303623072826982,0.9999999999999999,4.440892098500626e-16,75,150
0.005,10,1.0,0.0,0.30135803518036713,0.5439393038970781,0.9999999999999999,4.440892098500626e-16,75,675
0.01,1,0.5,100.0,0.294684789612014,0.5526187581187963,0.294684789612014,0.5526187581187963,75,0
0.01,3,0.9999999999999999,2.220446049250313e-14,0.30630401114181693,0.5836479551397535,0.9999999999999999,4.440892098500626e-16,75,150
0.01,10,1.0,0.0,0.3342966985974601,0.5591041786101552,1.0,4.440892098500626e-16,75,675
0.025,1,0.5,100.0,0.294684789612014,0.5526187581187963,0.294684789612014,0.5526187581187963,75,0
0.025,3,1.0,0.0,0.39747919595000764,0.5511963987508508,1.0,4.440892098500626e-16,75,150
0.025,10,1.0,0.0,0.37518086505026216,0.5806096328257964,1.0,4.440892098500626e-16,75,675
0.05,1,0.5,100.0,0.294684789612014,0.5526187581187963,0.294684789612014,0.5526187581187963,75,0
0.05,3,0.9999999999999999,2.220446049250313e-14,0.384269730387092,0.6007759730041539,0.9993691249763422,0.0023190620446353893,75,150
0.05,10,1.0,0.0,0.3331087549260199,0.5738087348409977,0.9999999999999999,4.440892098500626e-16,75,675
0.0,1,0.5,100.0,0.4828761463539091,0.6878000285952992,0.4828761463539091,0.6878000285952992,74,0
0.0,3,0.589980131130592,82.0039737738816,0.49871570677954824,0.7024491775060008,1.0,4.440892098500626e-16,74,148
0.0,10,0.3386953756951466,100.0,0.47875855826946656,0.7249059647439424,1.0,4.440892098500626e-16,74,666
0.005,1,0.5,100.0,0.4828761463539091,0.6878000285952992,0.4828761463539091,0.6878000285952992,74,0
0.005,3,1.0,0.0,0.4796275958322585,0.7322901692744859,1.0,4.440892098500626e-16,74,148
0.005,10,1.0,0.0,0.470113343162837,0.7375024668452642,1.0,4.440892098500626e-16,74,666
0.01,1,0.5,100.0,0.4828761463539091,0.6878000285952992,0.4828761463539091,0.6878000285952992,74,0
0.01,3,1.0,0.0,0.4421437317597769,0.753020030395599,1.0,4.440892098500626e-16,74,148
0.01,10,1.0,0.0,0.4498692556606747,0.7614653342706216,1.0,4.440892098500626e-16,74,666
0.025,1,0.5,100.0,0.4828761463539091,0.6878000285952992,0.4828761463539091,0.6878000285952992,74,0
0.025,3,1.0,0.0,0.4730482714954838,0.7347892116537037,1.0,4.440892098500626e-16,74,148
0.025,10,1.0,0.0,0.4387296710453045,0.7389636272603409,1.0,4.440892098500626e-16,74,666
0.05,1,0.5,100.0,0.4828761463539091,0.6878000285952992,0.4828761463539091,0.6878000285952992,74,0
0.05,3,1.0,0.0,0.47390521450415823,0.7107412951618128,0.9991238245031351,0.002968826108358691,74,148
0.05,10,1.0,0.0,0.4406128960772775,0.7639057945449047,1.0,4.440892098500626e-16,74,666
0.0,1,0.5,100.0,0.4687825181106958,0.6047777041513773,0.4687825181106958,0.6047777041513773,74,0
0.0,3,0.5334425334425335,93.31149331149331,0.48054016830823154,0.6278418564996888,0.9999999999999999,4.440892098500626e-16,74,148
0.0,10,0.36279228904355987,100.0,0.5115047232674318,0.6268209229628743,1.0,4.440892098500626e-16,74,666
0.005,1,0.5,100.0,0.4687825181106958,0.6047777041513773,0.4687825181106958,0.6047777041513773,74,0
0.005,3,0.9999999999999999,2.220446049250313e-14,0.47808815393134085,0.5892975123779824,0.9999999999999998,4.440892098500626e-16,74,148
0.005,10,1.0,0.0,0.46360784505458463,0.6366120676594023,1.0000000000000002,4.440892098500626e-16,74,666
0.01,1,0.5,100.0,0.4687825181106958,0.6047777041513773,0.4687825181106958,0.6047777041513773,74,0
0.01,3,1.0,0.0,0.4882636342176481,0.6475582262920565,1.0,4.440892098500626e-16,74,148
0.01,10,1.0,0.0,0.47978545988765936,0.6194583764733388,1.0,3.3306690738754696e-16,74,666
0.025,1,0.5,100.0,0.4687825181106958,0.6047777041513773,0.4687825181106958,0.6047777041513773,74,0
0.025,3,1.0,0.0,0.4668477765745932,0.6537204988530425,0.9999999999999999,4.440892098500626e-16,74,148
0.025,10,1.0,0.0,0.3988841020426713,0.7116317984790719,1.0,4.440892098500626e-16,74,666
0.05,1,0.5,100.0,0.4687825181106958,0.6047777041513773,0.4687825181106958,0.6047777041513773,74,0
0.05,3,1.0,0.0,0.4261885295419271,0.6706432344907163,1.0,4.440892098500626e-16,74,148
0.05,10,1.0,0.0,0.5198162267649377,0.6314471491417288,0.9999999999999999,4.440892098500626e-16,74,666
0.0,1,0.5,100.0,0.3252863842992555,0.6452334754975102,0.3252863842992555,0.6452334754975102,74,0
0.0,3,0.5036128691983123,99.27742616033754,0.41143592801581,0.5833958891222253,1.0,4.440892098500626e-16,74,148
0.0,10,0.37122082346781693,100.0,0.3853914631878619,0.6112883842888202,1.0000000000000002,4.440892098500626e-16,74,666
0.005,1,0.5,100.0,0.3252863842992555,0.6452334754975102,0.3252863842992555,0.6452334754975102,74,0
0.005,3,1.0,0.0,0.361590526714375,0.6271413334538223,1.0,4.440892098500626e-16,74,148
0.005,10,1.0,0.0,0.4345040872042848,0.5658775709914743,1.0,4.440892098500626e-16,74,666
0.01,1,0.5,100.0,0.3252863842992555,0.6452334754975102,0.3252863842992555,0.6452334754975102,74,0
0.01,3,1.0,0.0,0.3674093136601369,0.6053366103840527,0.9998805542283802,0.0004706540822051464,74,148
0.01,10,1.0,0.0,0.4287689153778134,0.5858725563022286,1.0,4.440892098500626e-16,74,666
0.025,1,0.5,100.0,0.3252863842992555,0.6452334754975102,0.3252863842992555,0.6452334754975102,74,0
0.025,3,1.0,0.0,0.31529917583687306,0.6099129116225627,1.0,4.440892098500626e-16,74,148
0.025,10,1.0,0.0,0.3521067115955637,0.6367025249384348,1.0,4.440892098500626e-16,74,666
0.05,1,0.5,100.0,0.3252863842992555,0.6452334754975102,0.3252863842992555,0.6452334754975102,74,0
0.05,3,1.0,0.0,0.38929777022069295,0.6572849298925285,0.9999999999999999,4.440892098500626e-16,74,148
