paradigm,run,epoch,dimension_wise_distance,absolute_prevalence_difference,column_wise_correlation,latent_cluster_analysis,medical_concept_abundance,clinical_knowledge_violation,temporal_coherence,trtr_auroc,tstr_auroc,feature_importance_overlap,membership_inference_f1,attribute_inference_f1,membership_inference_f1_real_baseline,membership_inference_f1_chance,synthetic_positive_rate,real_positive_rate
nonconditional,1,50,2.560051459616328,0.015173563733696938,13.243145849093969,-3.1745999974655335,0.15087719298245617,0.02205513784461153,0.18485354596946615,0.827489406779661,0.7004502118644067,0.3,0.7408536585365854,0.35069478093617806,1.0,0.5132113821138211,0.0035087719298245615,0.040100250626566414
nonconditional,1,100,2.077993709099223,0.011153005994856358,8.809126535750542,-4.948490887224897,0.0661654135338346,0.02506265664160401,0.20247421387079378,0.827489406779661,0.7804025423728814,0.35,0.8191056910569106,0.3679100637729124,1.0,0.5132113821138211,0.034085213032581455,0.040100250626566414
nonconditional,1,150,1.8415671741113804,0.010599544271826744,6.817146045372295,-5.100316669426909,0.05664160401002506,0.007518796992481203,0.1304845820186124,0.827489406779661,0.784176377118644,0.4,0.8170731707317073,0.3488539938221001,1.0,0.5132113821138211,0.02857142857142857,0.040100250626566414
nonconditional,1,200,1.6093277817159517,0.009481254033744335,5.697161795769268,-4.964887835224325,0.06215538847117793,0.012030075187969926,0.12203253540000193,0.827489406779661,0.7350900423728813,0.45,0.8272357723577236,0.2967004588884172,1.0,0.5132113821138211,0.02606516290726817,0.040100250626566414
nonconditional,1,250,1.344357336419181,0.005946673918515444,5.3164348607225795,-5.63352531351956,0.05714285714285714,0.012531328320802004,0.08498496299117117,0.827489406779661,0.783395127118644,0.3,0.8211382113821138,0.29614691240678953,1.0,0.5132113821138211,0.04962406015037594,0.040100250626566414
nonconditional,1,300,1.322207589340148,0.005971801932901144,5.050168254450623,-5.096053787649037,0.06616541353383458,0.016541353383458645,0.07703101751534458,0.827489406779661,0.8295550847457627,0.55,0.834349593495935,0.2978575281867051,1.0,0.5132113821138211,0.03609022556390978,0.040100250626566414
nonconditional,2,50,2.596056191901746,0.016133492812514305,13.435950409958473,-3.362971954254098,0.15187969924812028,0.021052631578947368,0.21178572234615003,0.827489406779661,,,0.7621951219512195,0.2945144482516043,1.0,0.5132113821138211,0.0,0.040100250626566414
nonconditional,2,100,2.0905218234947793,0.011360718868672848,8.689189779155218,-5.178350026560743,0.08721804511278194,0.02305764411027569,0.20951600967685013,0.827489406779661,0.7105667372881356,0.35,0.8089430894308943,0.34974166945444435,1.0,0.5132113821138211,0.03308270676691729,0.040100250626566414
nonconditional,2,150,1.7350669391198663,0.008266703225672245,6.619429793560089,-4.554248517130166,0.07418546365914787,0.014536340852130326,0.1197155364454933,0.827489406779661,0.7468220338983051,0.3,0.8191056910569106,0.3227505102791521,1.0,0.5132113821138211,0.03609022556390978,0.040100250626566414
nonconditional,2,200,1.6532866426618313,0.008572302758693695,5.8502747671373285,-5.268993702579648,0.05664160401002507,0.014035087719298246,0.08070953410556905,0.827489406779661,0.7583686440677967,0.4,0.8313008130081301,0.3271925676330543,1.0,0.5132113821138211,0.047619047619047616,0.040100250626566414
