step,column,detail
clip_outliers,rr,1.0
clip_outliers,map,7.0
clip_outliers,fio2,9.0
drop_missing>50%,fio2,0.7435381000335683
drop_missing>50%,fio2_hours_since_last_obs,0.7435381000335683
drop_missing>50%,fio2_4h_slope,0.7260825780463243
drop_missing>50%,fio2_24h_slope,0.7764350453172205
drop_missing>50%,glucose_24h_slope,0.6183282980866063
drop_low_prevalence,aids,0.0
impute_marginal,hr,0.002685464921114468
impute_marginal,rr,0.0030211480362537764
impute_marginal,spo2,0.00436388049681101
impute_marginal,sbp,0.011077542799597181
impute_marginal,map,0.011077542799597181
impute_marginal,temp_c,0.023833501174890904
impute_marginal,gcs_total,0.02181940248405505
impute_marginal,glucose,0.3541456864719705
impute_marginal,hr_hours_since_last_obs,0.002685464921114468
impute_marginal,rr_hours_since_last_obs,0.0030211480362537764
impute_marginal,spo2_hours_since_last_obs,0.00436388049681101
impute_marginal,sbp_hours_since_last_obs,0.011077542799597181
impute_marginal,map_hours_since_last_obs,0.011077542799597181
impute_marginal,temp_c_hours_since_last_obs,0.023833501174890904
impute_marginal,gcs_total_hours_since_last_obs,0.02181940248405505
impute_marginal,glucose_hours_since_last_obs,0.3541456864719705
impute_marginal,hr_4h_slope,0.0030211480362537764
impute_marginal,rr_4h_slope,0.003356831151393085
impute_marginal,spo2_4h_slope,0.006377979187646861
impute_marginal,sbp_4h_slope,0.013763007720711649
impute_marginal,map_4h_slope,0.013763007720711649
impute_marginal,temp_c_4h_slope,0.02920443101711984
impute_marginal,gcs_total_4h_slope,0.027861698556562606
impute_marginal,glucose_4h_slope,0.3669016448472642
impute_marginal,hr_24h_slope,0.012084592145015106
impute_marginal,rr_24h_slope,0.012420275260154415
impute_marginal,spo2_24h_slope,0.02484055052030883
impute_marginal,sbp_24h_slope,0.03893924135615979
impute_marginal,map_24h_slope,0.03893924135615979
impute_marginal,temp_c_24h_slope,0.1104397448808325
impute_marginal,gcs_total_24h_slope,0.13360187982544477
